,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,barrow,0,AR,1562999841,75,-38.31,-60.23,41.27,4.9
1,vao,89,EE,1562999842,61,59.1,26.19,59.81,5.82
2,ribeira grande,20,PT,1562999842,82,41.76,-8.56,72.0,3.36
3,hermanus,0,ZA,1562999842,97,-34.42,19.24,50.0,1.99
4,rikitea,56,PF,1562999843,81,-23.12,-134.97,74.03,11.43
5,coronini,0,RS,1562999843,82,44.68,21.69,69.01,1.12
6,hilo,20,US,1562999843,69,19.71,-155.08,78.01,12.44
7,hue,40,VN,1562999844,33,16.47,107.58,104.0,14.99
8,shingu,75,JP,1562999844,94,33.72,135.99,71.6,8.05
9,tasiilaq,14,GL,1562999844,81,65.61,-37.64,42.8,6.93
10,marondera,0,ZW,1562999845,36,-18.19,31.55,46.4,8.05
11,jamestown,27,AU,1562999845,63,-33.21,138.6,50.99,12.5
12,tiksi,42,RU,1562999845,55,71.64,128.87,49.19,5.77
13,nanortalik,77,GL,1562999846,88,60.14,-45.24,40.73,3.47
14,hithadhoo,0,MV,1562999846,75,-0.6,73.08,84.65,12.86
15,buritizeiro,0,BR,1562999846,63,-17.37,-44.96,55.67,0.96
16,rabak,95,SD,1562999847,62,13.18,32.74,78.17,13.76
17,yellowknife,75,CA,1562999639,66,62.45,-114.38,50.0,6.93
18,albany,20,US,1562999847,77,42.65,-73.75,69.01,4.7
19,punta arenas,20,PH,1562999848,59,14.18,121.12,91.99,10.29
20,provideniya,100,RU,1562999848,44,64.42,-173.23,70.25,5.28
21,northam,29,AU,1562999848,52,-31.65,116.67,64.4,12.75
22,moses lake,100,CI,1562999849,95,6.69,-8.48,70.43,2.48
23,arraial do cabo,0,BR,1562999849,76,-22.84,-46.65,55.4,6.93
24,buraydah,0,SA,1562999518,19,26.33,43.97,96.8,19.46
25,busselton,24,AU,1562999849,44,-33.64,115.35,64.0,9.13
26,xai-xai,83,MZ,1562999850,70,-25.04,33.64,70.97,8.08
27,cape town,18,CL,1562999850,100,-36.41,-71.9,46.4,8.05
28,mahebourg,75,MU,1562999851,56,-20.41,57.7,73.99,6.93
29,vaini,75,IN,1562999851,83,15.34,74.49,80.6,13.87
30,butaritari,28,KI,1562999851,80,3.07,172.79,83.93,15.39
31,maragogi,35,BR,1562999851,95,-9.01,-35.22,67.91,2.95
32,savannah bight,1,US,1562999852,88,32.08,-81.09,79.0,8.05
33,bluff,48,AU,1562999852,36,-23.58,149.07,72.77,9.48
34,ushuaia,75,AR,1562999852,86,-54.81,-68.31,39.2,8.05
35,kruisfontein,6,ZA,1562999508,91,-34.0,24.73,50.81,4.83
36,kapaa,20,US,1562999853,74,22.08,-159.32,82.4,14.99
37,santa barbara,0,PH,1562999853,70,17.49,120.43,85.19,8.61
38,saint-philippe,1,CA,1562999853,88,45.36,-73.48,69.01,6.93
39,port hardy,72,CD,1562999408,52,-7.04,29.76,69.71,3.96
40,qaanaaq,97,GL,1562999854,56,77.48,-69.36,43.79,7.63
41,georgetown,75,GY,1562999698,100,6.8,-58.16,73.4,4.7
42,tianpeng,100,CN,1562999855,92,28.88,112.34,74.03,6.6
43,madanapalle,74,IN,1562999855,43,13.56,78.5,87.53,8.52
44,maceio,20,BR,1562999673,88,-9.67,-35.74,69.8,4.7
